cust_id,trip_date,trip_distance,trip_duration,trip_fare,trip_tips,trip_wait_time,trip_rating,pri_id,cust_name,trip_id,driver_id
4,2025-03-03,6.64,5.09,12.98,2.82,4.0,5.0,,Victoria Roberts,T65,40
4,2025-03-08,23.29,25.52,39.94,3.72,1.0,,,Victoria Roberts,T66,143
4,2025-03-09,9.77,10.52,38.95,7.51,0.0,,,Victoria Roberts,T67,134
4,2025-03-10,3.52,2.65,45.3,3.2,1.0,1.0,,Victoria Roberts,T68,27
4,2025-03-11,11.79,19.94,47.75,3.19,9.0,4.0,,Victoria Roberts,T69,38
4,2025-03-13,5.0,5.27,19.79,2.93,3.0,5.0,,Victoria Roberts,T70,85
4,2025-03-16,7.84,6.08,27.25,0.91,0.0,4.0,,Victoria Roberts,T71,64
4,2025-03-22,2.91,2.1,10.27,3.51,0.0,5.0,,Victoria Roberts,T72,30
4,2025-03-23,4.81,8.0,36.54,0.84,0.0,5.0,,Victoria Roberts,T73,99
4,2025-03-27,6.12,10.53,49.4,0.85,1.0,4.0,,Victoria Roberts,T74,131
4,2025-03-28,8.38,5.79,38.9,9.86,1.0,2.0,,Victoria Roberts,T75,12
4,2025-03-29,7.51,7.1,45.79,4.24,0.0,4.0,,Victoria Roberts,T76,91
4,2025-03-30,0.06,0.06,10.35,0.56,0.0,4.0,,Victoria Roberts,T77,30
4,2025-04-02,6.85,6.32,21.87,9.62,1.0,5.0,,Victoria Roberts,T78,38
4,2025-04-10,1.27,0.87,48.64,0.12,0.0,5.0,,Victoria Roberts,T79,85
4,2025-04-19,3.75,2.51,29.92,0.74,10.0,4.0,,Victoria Roberts,T80,60
4,2025-04-22,4.96,4.15,33.24,4.55,3.0,,,Victoria Roberts,T81,38
4,2025-04-25,0.23,0.29,45.06,9.5,2.0,4.0,,Victoria Roberts,T82,104
4,2025-04-28,1.62,2.35,20.9,4.64,3.0,2.0,,Victoria Roberts,T83,143
4,2025-05-03,18.32,12.33,29.12,6.98,1.0,5.0,,Victoria Roberts,T84,146
4,2025-05-05,5.77,8.71,42.01,9.11,9.0,5.0,,Victoria Roberts,T85,29
4,2025-05-09,4.75,5.17,43.97,9.33,0.0,1.0,,Victoria Roberts,T86,112
5,2025-02-16,2.36,1.8,11.77,9.87,3.0,4.0,,Johnny Fowler,T87,21
5,2025-02-20,17.52,13.05,26.09,8.38,2.0,3.0,,Johnny Fowler,T88,145
5,2025-02-21,0.29,0.21,49.99,8.13,17.0,4.0,,Johnny Fowler,T89,146
5,2025-02-24,7.33,5.07,16.13,8.5,2.0,2.0,,Johnny Fowler,T90,119
5,2025-02-27,15.4,13.92,35.23,2.29,3.0,4.0,,Johnny Fowler,T91,60
5,2025-02-28,0.6,0.51,39.75,5.2,2.0,5.0,,Johnny Fowler,T92,140
5,2025-03-01,4.01,3.78,23.16,8.77,0.0,1.0,,Johnny Fowler,T93,113
5,2025-03-09,7.04,6.28,14.58,7.04,0.0,1.0,,Johnny Fowler,T94,129
5,2025-03-10,2.16,1.98,24.69,3.92,7.0,3.0,,Johnny Fowler,T95,58
5,2025-03-13,3.61,2.81,32.99,3.97,6.0,,,Johnny Fowler,T96,3
5,2025-03-15,0.8,0.56,16.62,4.92,2.0,,,Johnny Fowler,T97,149
5,2025-03-22,3.39,4.09,15.81,6.33,0.0,2.0,,Johnny Fowler,T98,23
5,2025-03-28,0.69,1.06,33.84,1.39,1.0,3.0,,Johnny Fowler,T99,137
5,2025-04-01,11.35,11.65,12.75,6.68,1.0,1.0,,Johnny Fowler,T100,83
5,2025-04-02,0.93,1.19,8.99,1.77,0.0,4.0,,Johnny Fowler,T101,55
5,2025-04-05,1.16,1.34,36.07,5.03,0.0,5.0,,Johnny Fowler,T102,110
5,2025-04-09,4.94,8.49,46.44,8.74,0.0,3.0,,Johnny Fowler,T103,116
5,2025-04-14,8.2,6.57,14.42,1.85,1.0,4.0,,Johnny Fowler,T104,147
5,2025-04-16,4.82,5.55,38.64,4.63,0.0,3.0,,Johnny Fowler,T105,62
5,2025-04-19,6.25,4.48,28.95,5.12,0.0,4.0,,Johnny Fowler,T106,87
5,2025-04-22,3.8,5.12,21.98,2.69,0.0,3.0,,Johnny Fowler,T107,100
5,2025-04-23,1.19,1.44,45.07,1.2,3.0,5.0,,Johnny Fowler,T108,27
5,2025-04-25,7.78,7.79,29.17,0.87,3.0,5.0,,Johnny Fowler,T109,34
5,2025-04-30,2.83,4.51,21.34,2.84,3.0,4.0,,Johnny Fowler,T110,33
5,2025-05-01,2.2,1.48,15.68,6.06,0.0,2.0,,Johnny Fowler,T111,92
5,2025-05-03,1.41,2.13,17.83,1.87,1.0,5.0,,Johnny Fowler,T112,96
5,2025-05-04,0.42,0.41,49.21,4.1,0.0,4.0,,Johnny Fowler,T113,148
5,2025-05-05,17.45,12.78,16.61,8.17,1.0,5.0,,Johnny Fowler,T114,95
5,2025-05-06,13.25,12.54,17.6,5.72,4.0,2.0,,Johnny Fowler,T115,38
5,2025-05-09,1.96,2.12,15.91,5.08,0.0,4.0,,Johnny Fowler,T116,41
6,2025-02-10,1.7,1.57,26.65,1.54,2.0,2.0,,Kari Turner,T117,137
6,2025-02-11,2.05,3.23,49.55,0.63,1.0,5.0,,Kari Turner,T118,137
6,2025-02-18,1.47,1.24,31.8,7.6,2.0,4.0,,Kari Turner,T119,79
6,2025-02-24,2.15,1.5,48.43,8.31,0.0,5.0,,Kari Turner,T120,128
6,2025-03-02,13.93,20.45,38.35,0.66,3.0,5.0,,Kari Turner,T121,22
6,2025-03-14,0.75,0.58,12.36,2.02,1.0,5.0,,Kari Turner,T122,16
6,2025-03-15,5.47,5.35,44.47,3.59,1.0,5.0,,Kari Turner,T123,32
6,2025-03-16,2.89,3.3,18.56,4.63,4.0,4.0,,Kari Turner,T124,142
6,2025-03-19,1.32,0.94,29.46,3.84,7.0,4.0,,Kari Turner,T125,38
6,2025-03-25,0.62,0.43,20.07,6.28,0.0,5.0,,Kari Turner,T126,98
6,2025-03-30,4.84,4.68,40.49,8.94,0.0,3.0,,Kari Turner,T127,136
6,2025-03-31,1.43,1.15,30.65,0.34,4.0,5.0,,Kari Turner,T128,21
6,2025-04-05,2.09,1.58,43.09,1.11,0.0,4.0,,Kari Turner,T129,56
6,2025-04-06,7.98,12.28,37.5,2.29,4.0,4.0,,Kari Turner,T130,46
6,2025-04-09,5.92,5.68,20.56,2.52,1.0,,,Kari Turner,T131,43
6,2025-04-10,4.38,4.86,47.63,4.62,0.0,4.0,,Kari Turner,T132,120
6,2025-04-18,3.52,3.17,44.25,0.18,8.0,4.0,,Kari Turner,T133,46
6,2025-04-19,5.96,4.19,11.86,7.07,3.0,4.0,,Kari Turner,T134,48
6,2025-04-21,2.76,2.23,46.65,9.34,2.0,2.0,,Kari Turner,T135,84
6,2025-04-27,20.95,15.65,46.44,1.25,6.0,4.0,,Kari Turner,T136,31
6,2025-04-29,4.47,4.97,20.08,0.55,5.0,1.0,,Kari Turner,T137,71
6,2025-05-09,2.03,2.26,46.39,5.37,1.0,3.0,,Kari Turner,T138,8
7,2025-02-10,6.69,7.03,25.36,2.25,0.0,2.0,34.0,Amy Zavala,T139,130
7,2025-02-23,3.45,3.75,21.31,9.15,3.0,4.0,34.0,Amy Zavala,T140,145
7,2025-03-01,0.07,0.06,48.25,1.78,0.0,4.0,34.0,Amy Zavala,T141,52
7,2025-03-02,0.45,0.3,31.79,5.02,0.0,5.0,34.0,Amy Zavala,T142,45
7,2025-03-04,1.18,0.84,13.58,2.05,0.0,4.0,34.0,Amy Zavala,T143,37
7,2025-03-07,4.16,7.35,25.4,7.76,2.0,4.0,34.0,Amy Zavala,T144,44
7,2025-03-20,2.56,2.42,13.19,1.55,6.0,,34.0,Amy Zavala,T145,117
7,2025-03-23,2.34,3.04,23.39,6.44,0.0,2.0,34.0,Amy Zavala,T146,38
7,2025-03-29,6.29,5.43,14.99,0.27,1.0,5.0,34.0,Amy Zavala,T147,99
7,2025-04-13,0.1,0.17,13.03,8.0,3.0,2.0,34.0,Amy Zavala,T148,124
7,2025-04-15,0.52,0.7,43.51,7.22,5.0,4.0,34.0,Amy Zavala,T149,6
7,2025-04-18,5.51,7.82,45.34,2.93,0.0,2.0,34.0,Amy Zavala,T150,68
7,2025-04-20,1.17,2.22,31.24,1.81,2.0,5.0,34.0,Amy Zavala,T151,101
7,2025-04-27,8.5,10.1,22.09,2.59,3.0,3.0,34.0,Amy Zavala,T152,134
7,2025-04-28,4.89,5.38,24.63,5.52,1.0,,34.0,Amy Zavala,T153,13
7,2025-05-01,7.21,11.26,26.93,8.68,7.0,5.0,34.0,Amy Zavala,T154,30
7,2025-05-02,2.77,5.3,29.37,2.69,3.0,3.0,34.0,Amy Zavala,T155,100
8,2025-02-24,0.75,0.56,28.66,9.84,1.0,3.0,,Cameron White,T156,2
9,2025-02-17,0.09,0.06,30.94,1.18,1.0,4.0,,Robert Flynn,T157,58
9,2025-02-18,5.27,3.96,5.49,2.06,0.0,,,Robert Flynn,T158,36
9,2025-02-20,10.35,9.43,34.93,6.01,1.0,,,Robert Flynn,T159,72
9,2025-02-24,2.71,3.07,7.11,5.19,1.0,5.0,,Robert Flynn,T160,137
9,2025-02-25,0.43,0.39,22.52,2.45,1.0,4.0,,Robert Flynn,T161,126
9,2025-02-26,6.35,7.97,26.42,5.66,3.0,,,Robert Flynn,T162,77
9,2025-03-03,6.59,9.22,16.8,0.31,3.0,2.0,,Robert Flynn,T163,50
9,2025-03-07,3.43,3.13,39.69,3.34,0.0,2.0,,Robert Flynn,T164,32
9,2025-03-09,6.51,6.54,24.57,6.88,1.0,5.0,,Robert Flynn,T165,98
9,2025-03-12,8.03,6.72,31.56,2.72,1.0,2.0,,Robert Flynn,T166,43
9,2025-03-15,12.46,19.57,25.07,9.5,1.0,4.0,,Robert Flynn,T167,125
9,2025-03-21,10.32,8.38,34.65,8.07,4.0,5.0,,Robert Flynn,T168,95
9,2025-03-28,1.44,1.46,49.45,2.21,9.0,1.0,,Robert Flynn,T169,78
9,2025-03-29,6.11,4.29,30.56,1.81,7.0,1.0,,Robert Flynn,T170,54
9,2025-04-02,5.98,7.5,48.7,9.24,9.0,4.0,,Robert Flynn,T171,47
9,2025-04-05,9.9,7.36,42.3,3.19,0.0,4.0,,Robert Flynn,T172,14
9,2025-04-07,1.31,2.11,36.33,0.77,1.0,5.0,,Robert Flynn,T173,55
9,2025-04-08,0.34,0.42,40.58,5.39,1.0,4.0,,Robert Flynn,T174,63
9,2025-04-11,10.86,9.73,6.1,2.33,6.0,1.0,,Robert Flynn,T175,19
9,2025-04-13,10.39,10.1,40.95,9.39,19.0,4.0,,Robert Flynn,T176,91
9,2025-04-18,7.29,8.08,33.24,4.8,6.0,,,Robert Flynn,T177,137
9,2025-04-19,7.31,7.96,38.19,4.21,1.0,2.0,,Robert Flynn,T178,101
9,2025-04-20,2.19,2.78,15.51,2.96,0.0,1.0,,Robert Flynn,T179,37
9,2025-04-21,22.0,23.71,35.58,3.84,1.0,,,Robert Flynn,T180,107
9,2025-04-23,7.72,13.1,44.56,4.18,9.0,4.0,,Robert Flynn,T181,92
9,2025-04-29,4.75,7.12,15.43,9.91,9.0,4.0,,Robert Flynn,T182,52
9,2025-05-04,4.68,4.62,12.94,2.31,1.0,2.0,,Robert Flynn,T183,28
9,2025-05-07,7.56,8.89,48.61,0.58,6.0,,,Robert Flynn,T184,36
9,2025-05-08,26.4,39.18,39.12,3.96,4.0,2.0,,Robert Flynn,T185,116
9,2025-05-09,8.46,11.68,29.16,2.24,3.0,4.0,,Robert Flynn,T186,64
10,2025-02-12,0.48,0.35,10.83,2.66,7.0,,77.0,John Soto,T187,18
10,2025-03-25,9.91,7.57,29.79,6.55,0.0,4.0,77.0,John Soto,T188,89
10,2025-04-26,2.33,3.07,27.31,7.23,0.0,2.0,77.0,John Soto,T189,78
11,2025-02-10,5.75,9.98,27.28,8.51,2.0,4.0,22.0,Anna Lawson,T190,90
11,2025-02-14,8.71,10.27,30.46,6.78,1.0,5.0,22.0,Anna Lawson,T191,8
11,2025-02-17,7.98,6.89,44.03,8.51,4.0,5.0,22.0,Anna Lawson,T192,15
11,2025-02-18,5.98,5.07,38.87,6.19,1.0,5.0,22.0,Anna Lawson,T193,7
11,2025-02-19,10.27,19.4,10.8,8.26,1.0,5.0,22.0,Anna Lawson,T194,17
11,2025-02-26,0.88,0.67,27.84,8.32,0.0,3.0,22.0,Anna Lawson,T195,86
11,2025-03-09,4.8,3.24,16.69,6.32,3.0,4.0,22.0,Anna Lawson,T196,118
11,2025-03-10,7.57,12.47,29.36,7.61,10.0,3.0,22.0,Anna Lawson,T197,64
11,2025-03-11,5.01,3.5,47.18,1.03,3.0,2.0,22.0,Anna Lawson,T198,12
11,2025-03-12,1.79,1.48,31.2,0.67,1.0,4.0,22.0,Anna Lawson,T199,56
11,2025-03-17,0.23,0.17,48.6,9.73,4.0,2.0,22.0,Anna Lawson,T200,101
11,2025-03-24,7.1,13.53,19.56,0.22,2.0,5.0,22.0,Anna Lawson,T201,16
11,2025-04-13,5.75,6.08,49.87,2.74,2.0,4.0,22.0,Anna Lawson,T202,2
11,2025-04-16,0.89,0.69,14.93,6.94,0.0,5.0,22.0,Anna Lawson,T203,128
11,2025-04-20,5.31,6.87,11.8,9.51,2.0,,22.0,Anna Lawson,T204,92
11,2025-04-26,2.72,2.39,17.34,3.98,12.0,4.0,22.0,Anna Lawson,T205,105
11,2025-05-01,11.23,15.38,6.4,2.13,3.0,4.0,22.0,Anna Lawson,T206,31
11,2025-05-06,9.99,10.27,13.35,9.68,6.0,5.0,22.0,Anna Lawson,T207,47
12,2025-02-16,7.37,5.48,33.18,7.61,0.0,1.0,,Michael James,T208,43
12,2025-02-17,12.68,11.36,26.67,7.97,0.0,2.0,,Michael James,T209,65
12,2025-02-22,5.78,6.21,27.12,2.01,0.0,4.0,,Michael James,T210,50
12,2025-02-23,1.57,1.21,25.48,3.1,0.0,2.0,,Michael James,T211,1
12,2025-03-06,2.49,2.54,18.12,6.0,4.0,5.0,,Michael James,T212,144
12,2025-03-13,7.57,14.03,9.72,4.81,1.0,,,Michael James,T213,122
12,2025-03-25,0.77,0.77,36.61,6.18,2.0,1.0,,Michael James,T214,28
12,2025-03-27,1.98,1.95,20.78,0.88,0.0,2.0,,Michael James,T215,86
12,2025-04-02,2.53,4.0,36.03,5.68,5.0,2.0,,Michael James,T216,82
12,2025-04-03,0.92,1.52,36.79,6.36,0.0,,,Michael James,T217,22
12,2025-04-05,0.27,0.26,44.19,7.09,4.0,5.0,,Michael James,T218,41
12,2025-04-06,2.07,1.57,45.27,0.8,2.0,5.0,,Michael James,T219,76
12,2025-04-08,3.01,2.63,37.92,5.26,0.0,2.0,,Michael James,T220,147
12,2025-04-10,1.42,2.15,14.86,8.72,11.0,3.0,,Michael James,T221,89
12,2025-04-11,1.01,0.78,27.42,6.59,2.0,5.0,,Michael James,T222,59
12,2025-04-19,1.3,0.87,34.26,9.75,1.0,5.0,,Michael James,T223,69
12,2025-04-24,0.37,0.7,25.82,2.58,6.0,5.0,,Michael James,T224,123
12,2025-05-02,6.79,7.34,21.7,3.46,13.0,1.0,,Michael James,T225,74
12,2025-05-03,10.09,9.35,37.64,4.39,2.0,5.0,,Michael James,T226,7
12,2025-05-04,11.55,12.53,31.66,2.77,7.0,2.0,,Michael James,T227,101
12,2025-05-05,4.88,4.31,10.92,7.33,4.0,,,Michael James,T228,111
12,2025-05-07,0.99,1.34,13.14,9.71,6.0,4.0,,Michael James,T229,52
12,2025-05-08,1.42,1.04,28.17,4.45,1.0,4.0,,Michael James,T230,24
12,2025-05-10,0.89,1.0,16.62,9.69,3.0,3.0,,Michael James,T231,26
13,2025-03-05,7.42,11.76,25.42,9.7,1.0,2.0,66.0,Stephen Ryan,T232,125
13,2025-03-13,0.93,0.91,42.3,3.37,2.0,2.0,66.0,Stephen Ryan,T233,90
13,2025-03-17,4.8,3.98,12.54,1.67,0.0,5.0,66.0,Stephen Ryan,T234,122
13,2025-04-05,5.45,5.59,41.26,8.44,3.0,5.0,66.0,Stephen Ryan,T235,10
13,2025-04-10,1.15,1.88,7.57,2.7,2.0,,66.0,Stephen Ryan,T236,17
14,2025-02-10,0.2,0.32,47.02,4.52,1.0,4.0,76.0,Corey Reyes,T237,2
14,2025-02-11,0.21,0.32,48.43,9.87,0.0,,76.0,Corey Reyes,T238,112
14,2025-02-16,5.1,3.73,28.2,4.55,2.0,5.0,76.0,Corey Reyes,T239,27
14,2025-02-17,0.75,1.42,36.71,3.08,1.0,5.0,76.0,Corey Reyes,T240,71
14,2025-02-19,17.52,29.5,24.97,6.73,6.0,2.0,76.0,Corey Reyes,T241,118
14,2025-02-21,5.9,4.41,35.75,9.45,2.0,4.0,76.0,Corey Reyes,T242,9
14,2025-02-22,10.16,9.49,46.89,0.3,4.0,5.0,76.0,Corey Reyes,T243,86
14,2025-03-01,1.21,1.04,34.31,3.94,0.0,5.0,76.0,Corey Reyes,T244,23
14,2025-03-03,37.21,67.88,23.31,9.77,6.0,5.0,76.0,Corey Reyes,T245,73
14,2025-03-09,4.19,3.38,23.19,8.79,1.0,5.0,76.0,Corey Reyes,T246,27
14,2025-03-12,8.25,6.54,24.6,7.98,5.0,2.0,76.0,Corey Reyes,T247,93
14,2025-03-15,3.93,7.77,21.49,3.25,2.0,5.0,76.0,Corey Reyes,T248,81
14,2025-03-18,2.46,2.59,21.8,2.38,1.0,2.0,76.0,Corey Reyes,T249,84
14,2025-03-30,4.62,3.95,25.86,6.19,1.0,5.0,76.0,Corey Reyes,T250,43
14,2025-03-31,3.66,3.74,20.36,0.26,1.0,4.0,76.0,Corey Reyes,T251,7
14,2025-04-02,4.34,4.2,39.42,6.08,5.0,5.0,76.0,Corey Reyes,T252,92
14,2025-04-03,15.56,30.03,5.34,1.96,3.0,5.0,76.0,Corey Reyes,T253,83
14,2025-04-05,1.4,0.98,47.05,0.6,1.0,2.0,76.0,Corey Reyes,T254,84
14,2025-04-07,3.33,4.4,18.83,2.85,5.0,4.0,76.0,Corey Reyes,T255,44
14,2025-04-09,1.86,1.68,17.27,7.16,2.0,2.0,76.0,Corey Reyes,T256,40
14,2025-04-12,1.0,0.85,28.63,1.81,4.0,2.0,76.0,Corey Reyes,T257,135
14,2025-04-13,4.19,5.54,26.76,9.63,5.0,4.0,76.0,Corey Reyes,T258,25
14,2025-04-20,0.22,0.19,32.07,9.51,5.0,5.0,76.0,Corey Reyes,T259,59
14,2025-04-21,1.29,1.81,23.5,6.11,5.0,,76.0,Corey Reyes,T260,141
14,2025-04-28,2.18,2.96,17.37,7.81,5.0,4.0,76.0,Corey Reyes,T261,103
14,2025-04-30,5.51,9.25,25.33,6.24,3.0,2.0,76.0,Corey Reyes,T262,86
14,2025-05-04,6.68,4.9,9.31,2.17,0.0,4.0,76.0,Corey Reyes,T263,112
14,2025-05-07,4.67,4.46,22.59,2.32,3.0,4.0,76.0,Corey Reyes,T264,86
15,2025-02-16,22.03,34.61,23.19,6.95,2.0,5.0,63.0,Luke Johnson,T265,98
15,2025-02-17,5.9,3.96,9.68,1.28,4.0,4.0,63.0,Luke Johnson,T266,62
15,2025-03-02,1.6,2.76,45.24,0.86,1.0,3.0,63.0,Luke Johnson,T267,8
15,2025-03-09,1.29,1.51,28.36,0.69,0.0,5.0,63.0,Luke Johnson,T268,113
15,2025-03-22,1.33,1.28,34.29,8.8,2.0,3.0,63.0,Luke Johnson,T269,146
15,2025-04-12,2.02,1.73,34.78,9.94,2.0,5.0,63.0,Luke Johnson,T270,60
15,2025-04-15,3.13,5.59,48.09,5.62,1.0,5.0,63.0,Luke Johnson,T271,60
15,2025-04-18,1.12,1.08,25.27,0.97,4.0,3.0,63.0,Luke Johnson,T272,106
15,2025-04-20,5.47,4.22,15.56,9.27,2.0,2.0,63.0,Luke Johnson,T273,2
15,2025-04-25,24.45,17.13,42.89,5.4,2.0,4.0,63.0,Luke Johnson,T274,91
16,2025-02-20,0.47,0.37,42.17,1.28,5.0,5.0,52.0,Kyle Hernandez,T275,14
16,2025-04-16,0.18,0.22,21.21,2.63,0.0,,52.0,Kyle Hernandez,T276,48
17,2025-02-15,4.03,5.0,25.12,3.97,3.0,4.0,24.0,Jordan Richardson,T277,103
17,2025-02-18,12.59,12.63,43.31,9.92,1.0,,24.0,Jordan Richardson,T278,56
17,2025-02-20,0.62,0.47,44.51,3.81,6.0,5.0,24.0,Jordan Richardson,T279,12
17,2025-02-25,7.8,9.69,23.13,0.81,1.0,5.0,24.0,Jordan Richardson,T280,55
17,2025-02-26,2.12,1.44,42.01,6.41,0.0,5.0,24.0,Jordan Richardson,T281,110
17,2025-03-02,12.8,12.97,39.42,6.06,1.0,4.0,24.0,Jordan Richardson,T282,4
17,2025-03-05,2.54,3.93,8.07,3.68,0.0,2.0,24.0,Jordan Richardson,T283,36
17,2025-03-08,16.5,15.72,24.46,9.66,1.0,4.0,24.0,Jordan Richardson,T284,131
17,2025-03-12,2.89,4.77,14.72,6.41,3.0,5.0,24.0,Jordan Richardson,T285,1
17,2025-03-13,0.82,1.46,25.69,7.81,0.0,,24.0,Jordan Richardson,T286,17
17,2025-03-15,0.3,0.25,15.76,9.84,0.0,2.0,24.0,Jordan Richardson,T287,62
